epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.741,1.39527,2.69662,1.34268,0.01018,0.87047,0.26,0.12876,1.27491,3.10838,1.29012,0.00046,0.00046,0.00046
2,222.416,1.17775,1.76034,1.23632,0.00727,0.62176,0.09089,0.04085,1.56538,3.33066,1.57109,0.000921388,0.000921388,0.000921388
3,330.248,1.15786,1.54683,1.19829,0.40872,0.19171,0.18179,0.10539,1.6519,3.07363,1.7512,0.00136377,0.00136377,0.00136377
4,436.715,1.24018,1.61952,1.2821,0.23926,0.26943,0.15644,0.08501,1.64162,4.01733,1.87181,0.00178714,0.00178714,0.00178714
5,546.513,1.27509,1.61153,1.29442,0.535,0.28615,0.34712,0.21682,1.6676,2.91666,1.76698,0.0018416,0.0018416,0.0018416
6,654.133,1.228,1.44344,1.24937,0.43706,0.3057,0.30818,0.16536,1.67027,2.59934,1.77471,0.001802,0.001802,0.001802
7,761.585,1.24436,1.46047,1.26671,0.47571,0.54404,0.45673,0.27485,1.38164,2.17842,1.4633,0.0017624,0.0017624,0.0017624
8,869.19,1.23416,1.40934,1.2787,0.60413,0.53769,0.57531,0.34654,1.41522,2.1158,1.49029,0.0017228,0.0017228,0.0017228
9,972.194,1.14036,1.2702,1.21825,0.61687,0.65072,0.62828,0.41023,1.27147,2.01364,1.43401,0.0016832,0.0016832,0.0016832
10,1070.29,1.17855,1.32879,1.2275,0.6116,0.58031,0.61072,0.40815,1.27042,1.68706,1.3765,0.0016436,0.0016436,0.0016436
11,1179.48,1.13968,1.23619,1.18158,0.68204,0.63353,0.62602,0.41849,1.29904,1.72078,1.3869,0.001604,0.001604,0.001604
12,1286.38,1.12881,1.21972,1.1989,0.71665,0.62904,0.71,0.47861,1.14654,1.49424,1.28117,0.0015644,0.0015644,0.0015644
13,1393.85,1.12348,1.1645,1.17842,0.70495,0.58549,0.65763,0.40925,1.31343,1.53174,1.38916,0.0015248,0.0015248,0.0015248
14,1500.86,1.08592,1.12226,1.16551,0.69746,0.6114,0.66964,0.44941,1.20232,1.59961,1.30579,0.0014852,0.0014852,0.0014852
15,1595.95,1.01847,1.0208,1.10771,0.6725,0.74479,0.74484,0.48312,1.11736,1.34946,1.25785,0.0014456,0.0014456,0.0014456
16,1688.33,1.01464,1.01555,1.12006,0.73958,0.67688,0.73214,0.49854,1.11719,1.29755,1.23022,0.001406,0.001406,0.001406
17,1793.16,1.05971,1.095,1.16343,0.64714,0.70984,0.7043,0.48315,1.16353,1.37364,1.27507,0.0013664,0.0013664,0.0013664
18,1898.07,1.02027,1.04111,1.12977,0.74075,0.64767,0.74445,0.52551,1.0867,1.20261,1.20771,0.0013268,0.0013268,0.0013268
19,2002.17,1.02625,1.01402,1.13025,0.72106,0.73057,0.7722,0.53567,1.07309,1.17338,1.22178,0.0012872,0.0012872,0.0012872
20,2103.89,0.98489,0.99473,1.11023,0.65943,0.68394,0.73472,0.52582,1.10012,1.2082,1.21316,0.0012476,0.0012476,0.0012476
21,2203.9,1.02744,1.02411,1.12879,0.79232,0.74611,0.79525,0.52712,1.12082,1.1518,1.2455,0.001208,0.001208,0.001208
22,2305.67,0.98222,0.96808,1.1113,0.76146,0.74611,0.78101,0.5571,1.03295,1.12882,1.22964,0.0011684,0.0011684,0.0011684
23,2408.51,0.98756,0.96446,1.10662,0.78082,0.7568,0.79002,0.54215,1.07461,1.17801,1.21389,0.0011288,0.0011288,0.0011288
24,2512.49,1.00995,0.99785,1.12848,0.68082,0.68394,0.72318,0.50968,1.03229,1.27352,1.19848,0.0010892,0.0010892,0.0010892
25,2616.58,0.93941,0.91835,1.09321,0.77022,0.74611,0.79125,0.55714,1.02932,1.09635,1.16825,0.0010496,0.0010496,0.0010496
26,2719.58,0.97429,0.89126,1.10368,0.77688,0.81184,0.83279,0.58773,1.01048,0.94724,1.16664,0.00101,0.00101,0.00101
27,2822.64,0.97274,0.91346,1.11495,0.77053,0.79275,0.82745,0.60117,0.96974,0.98913,1.14578,0.0009704,0.0009704,0.0009704
28,2926.14,0.93463,0.94451,1.09828,0.78047,0.78238,0.83139,0.60174,0.98962,0.95933,1.13855,0.0009308,0.0009308,0.0009308
29,3028.97,0.93555,0.88672,1.09343,0.75861,0.74903,0.78113,0.57086,0.98205,1.0592,1.14466,0.0008912,0.0008912,0.0008912
30,3131.38,0.94361,0.90553,1.0959,0.7346,0.79275,0.80832,0.59093,0.93827,1.03614,1.1242,0.0008516,0.0008516,0.0008516
31,3233.59,0.94028,0.94476,1.11049,0.81836,0.76684,0.8491,0.61841,0.95024,0.90952,1.1294,0.000812,0.000812,0.000812
32,3336.05,0.91225,0.82189,1.05734,0.83201,0.76985,0.85219,0.60226,1.0038,0.9482,1.15161,0.0007724,0.0007724,0.0007724
33,3437.65,0.91033,0.86502,1.09429,0.75714,0.79793,0.82644,0.61352,0.91511,0.93747,1.11706,0.0007328,0.0007328,0.0007328
34,3539.78,0.86381,0.81294,1.04801,0.77874,0.80829,0.81188,0.61569,0.87075,0.95207,1.0934,0.0006932,0.0006932,0.0006932
35,3642.22,0.88856,0.85508,1.07699,0.778,0.78081,0.82156,0.62753,0.88635,0.88651,1.07623,0.0006536,0.0006536,0.0006536
36,3747.14,0.86187,0.80893,1.05211,0.83743,0.80829,0.84367,0.63156,0.8731,0.88374,1.05555,0.000614,0.000614,0.000614
37,3851.61,0.85365,0.76042,1.0438,0.7935,0.8163,0.84431,0.62981,0.88361,0.86671,1.0694,0.0005744,0.0005744,0.0005744
38,3953.69,0.84681,0.75026,1.04891,0.81885,0.76684,0.84865,0.63168,0.88688,0.85443,1.06755,0.0005348,0.0005348,0.0005348
39,4062.46,0.78935,0.72932,1.01784,0.84831,0.81131,0.85947,0.66051,0.8492,0.86615,1.04808,0.0004952,0.0004952,0.0004952
40,4168.31,0.82239,0.73689,1.03604,0.8249,0.80549,0.85931,0.65812,0.84575,0.85535,1.04312,0.0004556,0.0004556,0.0004556
41,4275.22,0.8105,0.76758,1.02827,0.82643,0.79275,0.85895,0.65262,0.85002,0.86877,1.07281,0.000416,0.000416,0.000416
42,4386.21,0.79636,0.71025,1.02647,0.82836,0.80018,0.85285,0.6384,0.85148,0.85402,1.07365,0.0003764,0.0003764,0.0003764
43,4499.17,0.78502,0.72983,1.03233,0.80673,0.81347,0.8576,0.65465,0.83846,0.85546,1.06675,0.0003368,0.0003368,0.0003368
44,4604.85,0.75629,0.73843,1.01868,0.80791,0.82811,0.86073,0.66424,0.81604,0.84304,1.0422,0.0002972,0.0002972,0.0002972
